imdb_id,original_title,cn_titles,release_year,summary,genres,directors,scriptwriters,actors,length,douban_average_score,douban_star_rating,number_of_ratings,link
tt000206,独角兽之死,独角兽之死,2025,一位父亲（保罗-路德 Paul Rudd 饰）和女儿（珍娜-奥特加 Jenna Ortega 饰）在前往周末度假地的途中意外撞死了一只独角兽，而他的亿万富翁老板（理查德-E-格兰特 Richard E. Grant 饰）则想利用这只独角兽神奇的疗效。,喜剧 / 恐怖,亚历克斯·沙夫曼,亚历克斯·沙夫曼,亚历克斯·沙夫曼,104分钟,5.1,2.55,2968,https://www.douban.com/doubanapp/dispatch?uri=/movie/36341345
tt000207,普通的孩子,普通的孩子,2025,本片的主人公是上田唯士（岛田铁太 饰），10岁，小学四年级。他是个普通的男孩，喜欢小动物。然而，这个“普通的男孩”恋爱了！他的心动对象是三宅心爱（瑠璃 饰）——一位热衷环保的“环保少女”。为了接近心爱，唯士决定加入她热衷的环保活动。与此同时，班上的小小问题儿童桥本阳斗（味元耀大 饰）也意外加入。就这样，三人开启了一场环保行动，然而事情的发展却远远超出了他们的想象…,剧情 / 儿童,吴美保,高田亮,吴美保,97分钟,8.2,4.1,530,https://www.douban.com/doubanapp/dispatch?uri=/movie/36942731
tt000208,腥心眼,腥心眼,2025,情人节当天，西雅图的一对同事关系的男女被一名叫“腥心眼”的变态杀人狂追杀，两人在浪漫都市中逃脱穿行，努力生存的同时渐生爱意。。。,喜剧 / 悬疑 / 恐怖,乔什·鲁本,菲利普·墨菲 / 克里斯托弗·兰登 / 迈克尔·T·肯尼迪,乔什·鲁本,97分钟,5.6,2.8,4705,https://www.douban.com/doubanapp/dispatch?uri=/movie/36916001
tt000209,真爱营业,真爱营业,2025,"网红情侣博主徐小梨（郑合惠子 饰）和“雇佣男友”郝楂（左凌峰 饰）突遇一场掉粉危机，这对“假情侣”面对流量的骤减、老板的施压，徐小梨竟徒手策划假结婚大事件！没成想“未婚夫”郝楂深夜出逃，愤怒小梨直接暴走“追夫”。
这婚究竟能结不能结？营业情侣又会走向怎样的结局？",喜剧 / 爱情,吴雅文,孙语晨 / 吴雅文 / 郝瀚 / 刘富贵 / 王闵 /  / 更多...,吴雅文,99分钟,5.0,2.5,3818,https://www.douban.com/doubanapp/dispatch?uri=/movie/37096787
tt000210,胜券在握,胜券在握,2024,科技公司11号员工白胜（邓超 饰），不仅背负百万债务还惨遭公司裁员。已经没什么可以失去的他决定和公司斗一斗，如何才能在公司苟住100天并最终赢回属于自己的800万期权？ 第一步：重返公司。精心准备一个创业骗局，这一次，不做员工要当老板。 第二步：组建自己的团队。队友方方（邓家佳 饰）、哈雷（柯达 饰）、强尼（李乃文 饰）来相助，临时搭起的草台班子也能掀翻公司吗？ 第三步：披荆斩棘。负责裁员的张见（张本煜 饰）多番阻挠，还派来监事周望高（郑云龙 饰）时刻盯着白胜。笑面虎任远劳（喻恩泰 饰）怎么才能为白胜所用？催债的郝大哥（杨皓宇 饰）是阻力还是助力？ 第四步，暂时还没有思路......没关系，很多事装着装着就真成了。 吃瓜暂停，白胜究竟能否拿回800万？,剧情,刘循子墨,里八神 / 刘循子墨,刘循子墨,135分钟,6.0,3.0,110570,https://www.douban.com/doubanapp/dispatch?uri=/movie/36354086
tt000211,扯淡生命史,扯淡生命史,2024,菲洛梅娜·坎克深入探讨生活中的深刻问题，从宇宙大爆炸到人工智能等主题展开研究，与学者和创意人士交流，同时以她标志性的误导性观察进行解读。,喜剧,阿尔·坎贝尔,查理·布鲁克 / 本·考德尔 / 艾丽卡·埃勒 / 查理·乔琪 / 艾丽·戈德斯通 /  /  /  /  / 更多...,阿尔·坎贝尔,70分钟,7.7,3.85,3073,https://www.douban.com/doubanapp/dispatch?uri=/movie/37143090
tt000212,不能说的秘密,不能说的秘密,2025,宥俊(都敬秀饰)是一位在国外留学的优秀钢琴家，他为了治疗手腕回到家乡，成为韩国一所音乐学院的交换学生。有一天，宥俊在校园的旧练琴室偶遇了正在演奏神秘曲目的贞雅(元真儿饰)。随着他们相处的时间越来越长，爱情逐渐萌芽。然而，贞雅却一直保持距离，用她神秘的行为让宥俊感到困惑。当贞雅某天突然消失后，宥俊开始寻找她的下落，并发现了她的隐藏秘密…,爱情 / 音乐,徐宥敏,周杰伦,徐宥敏,103分钟,6.5,3.25,1711,https://www.douban.com/doubanapp/dispatch?uri=/movie/27007465
tt000213,年轻母亲之家,年轻母亲之家,2025,稚气未除，先成了母亲。抱着初生儿，谢西嘉欲见生母，想知当年被抛弃的原因；佩拉静待男友放监，他对亲生骨肉却视若无睹；雅丽安望寄养孩子继续求学，却遭酗酒母亲反对；朱莉与男友共建家庭前，须先彻底戒除毒瘾；奈玛与婴儿迁进新居，有望找到稳定工作。在庇护之家同一屋檐下，焦虑、恐惧、不安殊途同归，抉择却各有不同。戴丹兄弟的朴实镜头依然冷锐而不乏怜悯，五位年轻妈妈各有清晰轮廓，在社会泥沼中轻唱亦悲亦喜的摇篮曲，活出自己的人生。,剧情,让-皮埃尔·达内 / 吕克·达内,让-皮埃尔·达内 / 吕克·达内,让-皮埃尔·达内 吕克·达内,105分钟,7.0,3.5,843,https://www.douban.com/doubanapp/dispatch?uri=/movie/36779927
tt000214,财富流感,财富流感,2024,一种前所未有的新型病毒在富人中流传开来，被病毒感染的人全部先癫狂后死亡，一时间，社会动荡不安，恐惧在所有富豪之间弥漫，富有程度越高，死的速度越快！当“富有”成为了一种病毒，富人、中产、穷人们都将作何反应？作为社会精英阶层的女主又会作何选择，是把自己的财产拱手相送保全性命，还是誓死守护富裕可观的私人财产？,科幻 / 惊悚,加尔德·加兹特鲁·乌鲁蒂亚,大卫·德索拉 / 加尔德·加兹特鲁·乌鲁蒂亚 / 佩德罗·里韦罗 / 萨姆·斯坦纳,加尔德·加兹特鲁·乌鲁蒂亚,116分钟,4.8,2.4,6339,https://www.douban.com/doubanapp/dispatch?uri=/movie/35758802
tt000215,雄狗狗大冒险,雄狗狗大冒险,2025,一只普通的狗狗爱着邻居家的赛级犬，但有一天他发现，自己明早就要被送去阉掉了，那么，这最后一天他会做什么呢？,喜剧 / 动画,格恩迪·塔塔科夫斯基,格恩迪·塔塔科夫斯基 / 约翰·维蒂 / 斯蒂夫·格林伯格 / 里奇·卢弗兰诺,格恩迪·塔塔科夫斯基,87分钟,6.5,3.25,440,https://www.douban.com/doubanapp/dispatch?uri=/movie/35393280
