排名,标题,链接,导演,主演,年份,国家,类型,评分,评价人数,一句话评价
19,控方证人,https://movie.douban.com/subject/1296141/,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情/犯罪/悬疑/惊悚,9.6,681650,比利·怀德满分作品。
20,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧/爱情/奇幻/古装,9.2,1674440,一生所爱。
21,熔炉,https://movie.douban.com/subject/5912992/,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,9.3,1016450,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,触不可及,https://movie.douban.com/subject/6786002/,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,N/A,2011,法国,剧情/喜剧,9.3,1260982,满满温情的高雅喜剧。
23,寻梦环游记,https://movie.douban.com/subject/20495023/,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,2017,美国,喜剧/动画/奇幻/音乐,9.1,1919131,死亡不是真的逝去，遗忘才是永恒的消亡。
24,教父,https://movie.douban.com/subject/1291841/,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,1972,美国,剧情/犯罪,9.3,1076953,千万不要记恨你的对手，这样会让你失去理智。
25,当幸福来敲门,https://movie.douban.com/subject/1849031/,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,2006,美国,剧情/传记/家庭,9.1,1654204,平民励志片。
26,末代皇帝,https://movie.douban.com/subject/1293172/,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,剧情/传记/历史,9.3,1001316,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻/冒险,9.2,1380064,童话世界的开端。
28,龙猫,https://movie.douban.com/subject/1291560/,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画/奇幻/冒险,9.2,1383133,人人心中都有个龙猫，童年就永远不会消失。
29,怦然心动,https://movie.douban.com/subject/3319755/,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情/喜剧/爱情,9.1,2008081,真正的幸福是来自内心深处。
30,活着,https://movie.douban.com/subject/1292365/,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 中国香港,剧情/历史/家庭,9.3,946328,张艺谋最好的电影。
31,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情/动作/科幻/犯罪/惊悚,9.2,1167628,无尽的黑暗。
32,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2003,美国 新西兰,剧情/动作/奇幻/冒险,9.3,888964,史诗的终章。
33,我不是药神,https://movie.douban.com/subject/26752088/,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情/喜剧,9.0,2306068,对我们国家而言，这样的电影多一部是一部。
34,乱世佳人,https://movie.douban.com/subject/1300267/,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,1939,美国,剧情/历史/爱情/战争,9.3,772226,Tomorrow is another day.
35,飞屋环游记,https://movie.douban.com/subject/2129039/,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,2009,美国,剧情/喜剧/动画/冒险,9.1,1463487,最后那些最无聊的事情，才是最值得怀念的。
36,让子弹飞,https://movie.douban.com/subject/3742360/,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 中国香港,剧情/喜剧/动作/西部,9.0,1880470,你给我翻译翻译，神马叫做TMD的惊喜。
37,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,爱情/动画/奇幻/冒险,9.1,1252661,带着心爱的人在天空飞翔。
38,十二怒汉,https://movie.douban.com/subject/1293182/,西德尼·吕美特 Sidney Lumet,亨利·方达 Henry Fonda / 马丁...,1957,美国,剧情,9.4,561227,1957年的理想主义。
39,素媛,https://movie.douban.com/subject/21937452/,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情,9.3,759769,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
40,海蒂和爷爷,https://movie.douban.com/subject/25958717/,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,2015,德国 瑞士,剧情/冒险/家庭,9.3,747533,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
41,猫鼠游戏,https://movie.douban.com/subject/1305487/,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,2002,美国 加拿大,传记/犯罪/剧情,9.1,1173666,骗子大师和执著警探的你追我跑故事。
42,天空之城,https://movie.douban.com/subject/1291583/,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画/奇幻/冒险,9.2,986388,对天空的追逐，永不停止。
43,鬼子来了,https://movie.douban.com/subject/1291858/,姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情/喜剧,9.3,698852,对敌人的仁慈，就是对自己残忍。
44,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情/传记/运动/家庭,9.0,1710464,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
45,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 中国台湾 英国 加拿大,剧情/奇幻/冒险,9.1,1462628,瑰丽壮观、无人能及的冒险之旅。
46,钢琴家,https://movie.douban.com/subject/1296736/,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,2002,英国 法国 波兰 德国 美国,剧情/传记/战争/音乐,9.3,729922,
47,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 新西兰,剧情/动作/奇幻/冒险,9.2,836642,承前启后的史诗篇章。
48,死亡诗社,https://movie.douban.com/subject/1291548/,彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情,9.2,849613,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
49,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧/爱情/奇幻/古装,9.0,1335854,
50,何以为家,https://movie.douban.com/subject/30170448/,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,1142586,凝视卑弱生命，用电影改变命运。
51,闻香识女人,https://movie.douban.com/subject/1298624/,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情,9.1,998050,
52,绿皮书,https://movie.douban.com/subject/27060077/,彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /...,2018,美国 中国大陆,剧情/喜剧/传记/音乐,8.9,1845977,去除成见，需要勇气。
53,大闹天宫,https://movie.douban.com/subject/1418019/,万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆),1964(中国大陆),1978(中国大陆),9.4,496215,
54,黑客帝国,https://movie.douban.com/subject/1291843/,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,N/A,1999,美国,动作/科幻,9.1,927103,
55,指环王1：护戒使者,https://movie.douban.com/subject/1291571/,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国,剧情/动作/奇幻/冒险,9.1,937516,
56,罗马假日,https://movie.douban.com/subject/1293839/,威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧/剧情/爱情,9.1,1028447,
57,教父2,https://movie.douban.com/subject/1299131/,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1974,美国,剧情/犯罪,9.3,620604,
58,狮子王,https://movie.douban.com/subject/1301753/,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,1994,美国,动画/冒险/歌舞,9.1,938515,
59,天堂电影院,https://movie.douban.com/subject/1291828/,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,1988,意大利 法国,剧情/爱情,9.2,728401,
60,饮食男女,https://movie.douban.com/subject/1291818/,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,剧情/家庭,9.2,702856,
61,辩护人,https://movie.douban.com/subject/21937445/,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情,9.2,646696,电影的现实意义大过电影本身。
62,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett / ...,2008,美国,剧情/爱情/奇幻,9.0,1081605,在时间之河里感受溺水之苦。
63,搏击俱乐部,https://movie.douban.com/subject/1292000/,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,1999,美国,剧情/动作/悬疑/惊悚,9.0,946214,
64,美丽心灵,https://movie.douban.com/subject/1306029/,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记/剧情,9.1,839022,
65,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,剧情/战争,9.2,628166,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66,情书,https://movie.douban.com/subject/1292220/,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情/爱情,8.9,1289604,
67,两杆大烟枪,https://movie.douban.com/subject/1293350/,盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,剧情/喜剧/犯罪,9.1,661253,
68,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,奇幻/冒险,9.0,946859,10年的完美句点。
69,窃听风暴,https://movie.douban.com/subject/1900841/,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,N/A,2006,德国,剧情/悬疑,9.2,620263,别样人生。
70,音乐之声,https://movie.douban.com/subject/1294408/,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情/传记/爱情/歌舞,9.1,668906,
71,功夫,https://movie.douban.com/subject/1291543/,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作/喜剧/犯罪/奇幻,8.9,1298968,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
72,西西里的美丽传说,https://movie.douban.com/subject/1292402/,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情/战争/情色,8.9,1073001,
73,哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,2004,英国 美国,奇幻/冒险,9.0,865419,不一样的导演，不一样的哈利·波特。
74,阿凡达,https://movie.douban.com/subject/1652587/,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作/科幻/冒险,8.8,1543516,绝对意义上的美轮美奂。
75,看不见的客人,https://movie.douban.com/subject/26580232/,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情/犯罪/悬疑/惊悚,8.8,1409725,你以为你以为的就是你以为的。
76,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,1998,美国,剧情/战争,9.1,709966,
77,沉默的羔羊,https://movie.douban.com/subject/1293544/,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情/犯罪/惊悚,8.9,992356,
78,小鞋子,https://movie.douban.com/subject/1303021/,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情/儿童/家庭,9.2,453263,
79,飞越疯人院,https://movie.douban.com/subject/1292224/,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,1975,美国,剧情,9.1,592428,
80,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,剧情/喜剧/冒险,8.9,1058777,小清新的故事里注入了大历史的情怀。
81,蝴蝶效应,https://movie.douban.com/subject/1292343/,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,N/A,2004,美国 加拿大,剧情/悬疑/科幻/惊悚,8.9,1043429,人的命运被自己瞬间的抉择改变。
82,禁闭岛,https://movie.douban.com/subject/2334904/,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情/悬疑/惊悚,8.9,1087843,昔日翩翩少年，今日大腹便便。
83,致命魔术,https://movie.douban.com/subject/1780330/,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,2006,英国 美国,剧情/悬疑/惊悚,8.9,945214,孪生蝙蝠侠大战克隆金刚狼。
84,心灵捕手,https://movie.douban.com/subject/1292656/,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情,9.0,797857,
85,低俗小说,https://movie.douban.com/subject/1291832/,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,1994,美国,剧情/喜剧/犯罪,8.9,936016,
86,超脱,https://movie.douban.com/subject/5322596/,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情,9.0,703181,穷尽一生，我们要学会的，不过是彼此拥抱。
87,哈利·波特与密室,https://movie.douban.com/subject/1296996/,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国 美国,奇幻/冒险,8.9,890753,
88,喜剧之王,https://movie.douban.com/subject/1302425/,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,1999,中国香港,喜剧/剧情/爱情,8.8,1071440,
89,摩登时代,https://movie.douban.com/subject/1294371/,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1936,美国,剧情/喜剧/爱情,9.3,338131,
90,杀人回忆,https://movie.douban.com/subject/1300299/,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,剧情/动作/犯罪/悬疑/惊悚,8.9,815471,
91,致命ID,https://movie.douban.com/subject/1297192/,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷...,2003,美国,剧情/悬疑/惊悚,8.9,925317,
92,一一,https://movie.douban.com/subject/1292434/,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,中国台湾 日本,剧情/爱情/家庭,9.1,480459,
93,春光乍泄,https://movie.douban.com/subject/1292679/,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港 日本 韩国,剧情/爱情/同性,9.0,696898,
94,还有明天,https://movie.douban.com/subject/36445098/,宝拉·柯特莱西 Paola Cortellesi,宝拉·柯特莱西 Paola Corte...,2023,意大利,剧情/喜剧/历史,9.4,316778,
95,海豚湾,https://movie.douban.com/subject/3442220/,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo...,2009,美国,纪录片,9.3,377942,海豚的微笑，是世界上最高明的伪装。
96,加勒比海盗,https://movie.douban.com/subject/1298070/,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,2003,美国,动作/冒险/奇幻,8.8,948080,
97,美国往事,https://movie.douban.com/subject/1292262/,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,1984,美国 意大利,犯罪/剧情,9.1,460387,
98,红辣椒,https://movie.douban.com/subject/1865703/,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,动画/悬疑/科幻/惊悚,9.0,551770,梦的勾结。
99,七宗罪,https://movie.douban.com/subject/1292223/,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,1995,美国,剧情/犯罪/悬疑/惊悚,8.8,1038331,
100,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,喜剧/爱情/古装,8.7,1198618,
101,狩猎,https://movie.douban.com/subject/6985810/,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,2012,丹麦 瑞典,剧情,9.1,455503,人言可畏。
102,幽灵公主,https://movie.douban.com/subject/1297359/,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合...,1997,日本,动画/奇幻/冒险,8.9,653444,
103,甜蜜蜜,https://movie.douban.com/subject/1305164/,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,剧情/爱情,8.9,652981,
104,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2012,美国 英国,剧情/动作/科幻/犯罪/惊悚,8.9,797684,诺兰就是保证。
105,寄生虫,https://movie.douban.com/subject/27010768/,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,剧情,8.8,1516188,
106,7号房的礼物,https://movie.douban.com/subject/10777687/,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情/喜剧/家庭,8.9,611276,《我是山姆》的《美丽人生》。
107,天书奇谭,https://movie.douban.com/subject/1428581/,王树忱 Shuchen Wang / 钱运达 Yunda Qian,丁建华 Jianhua Din...,1983(中国大陆),2021,中国大陆,9.2,322601,
108,超能陆战队,https://movie.douban.com/subject/11026735/,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,2014,美国,喜剧/动作/科幻/动画/冒险,8.8,1121984,Balalala~~~
109,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,1995,美国 奥地利 瑞士,剧情/爱情,8.8,778321,
110,第六感,https://movie.douban.com/subject/1297630/,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,1999,美国,剧情/悬疑/惊悚,8.9,622551,
111,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情/歌舞,8.8,760551,以戏谑来戏谑戏谑。
112,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2004,美国 法国,剧情/爱情,8.9,636833,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
113,重庆森林,https://movie.douban.com/subject/1291999/,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,剧情/爱情,8.8,904458,
114,茶馆,https://movie.douban.com/subject/1461403/,谢添 Tian Xie,于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),中国大陆,剧情/历史,9.6,197364,
115,未麻的部屋,https://movie.douban.com/subject/1395091/,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,剧情/犯罪/动画/悬疑/惊悚,9.1,410836,
116,入殓师,https://movie.douban.com/subject/2149806/,泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki / ...,2008,日本,剧情,8.9,733036,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
117,哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫 Daniel Radclif...,2005,英国 美国,悬疑/奇幻/冒险,8.8,779304,
118,剪刀手爱德华,https://movie.douban.com/subject/1292370/,蒂姆·波顿 Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,美国,剧情/爱情/奇幻,8.7,1106215,
119,菊次郎的夏天,https://movie.douban.com/subject/1293359/,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,剧情/喜剧,8.9,661739,
120,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,2010,日本,动画/奇幻/冒险,8.9,615114,曾经的那段美好会沉淀为一辈子的记忆。
121,断背山,https://movie.douban.com/subject/1418834/,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,美国 加拿大,剧情/爱情/同性/家庭,8.8,767422,每个人心中都有一座断背山。
122,勇敢的心,https://movie.douban.com/subject/1294639/,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,动作/传记/剧情/历史/战争,8.9,597485,
123,头脑特工队,https://movie.douban.com/subject/10533913/,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,N/A,2015,美国,喜剧/动画/冒险,8.8,778198,愿我们都不用长大，每一座城堡都能永远存在。
124,时空恋旅人,https://movie.douban.com/subject/10577869/,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森 Domhnall Gl...,2013,英国 美国,喜剧/爱情/奇幻,8.8,769729,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
125,消失的爱人,https://movie.douban.com/subject/21318488/,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,剧情/犯罪/悬疑/惊悚,8.7,1053298,年度最佳date movie。
126,无人知晓,https://movie.douban.com/subject/1292337/,是枝裕和 Hirokazu Koreeda,柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,剧情,9.1,364554,我的平常生活就是他人的幸福。
127,倩女幽魂,https://movie.douban.com/subject/1297447/,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,爱情/奇幻/武侠/古装,8.8,821923,
128,驯龙高手,https://movie.douban.com/subject/2353023/,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,2010,美国,动画/奇幻/冒险,8.8,844678,和谐的生活离不开摸头与被摸头。
129,花样年华,https://movie.douban.com/subject/1291557/,王家卫 Kar Wai Wong,张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,2000,中国香港,剧情/爱情,8.8,779731,
130,完美的世界,https://movie.douban.com/subject/1300992/,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,1993,美国,剧情/犯罪,9.1,352922,
131,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 中国香港,剧情/爱情,8.8,682206,
132,新世界,https://movie.douban.com/subject/10437779/,朴勋政 Hoon-jung Park,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,剧情/犯罪,8.9,512549,要做就做得狠一点，这样才能活下去。
133,傲慢与偏见,https://movie.douban.com/subject/1418200/,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,剧情/爱情,8.7,903905,爱是摈弃傲慢与偏见之后的曙光。
134,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,剧情,9.0,465354,那些静得只能听见呼吸的日子里，你明白孤独即生活。
135,天使爱美丽,https://movie.douban.com/subject/1292215/,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,2001,法国 德国,剧情/喜剧/爱情,8.7,1009145,
136,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,剧情,8.9,553004,惠及一生的美丽。
137,玩具总动员3,https://movie.douban.com/subject/1858711/,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧/动画/奇幻/冒险,8.9,578768,跨度十五年的欢乐与泪水。
138,怪兽电力公司,https://movie.douban.com/subject/1291579/,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,2001,美国,儿童/喜剧/动画/奇幻/冒险,8.8,753626,
139,侧耳倾听,https://movie.douban.com/subject/1297052/,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,1995,日本,剧情/爱情/动画,8.9,511532,
140,教父3,https://movie.douban.com/subject/1294240/,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1990,美国,剧情/犯罪,9.0,420848,
141,色，戒,https://movie.douban.com/subject/1828115/,李安 Ang Lee,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,中国台湾 中国大陆 美国 中国香港,剧情/爱情/情色,8.7,936354,假戏真情，爱欲深海
142,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫 Armie Hammer / ...,2017,意大利 法国 巴西 美国,剧情/爱情/同性,8.8,807418,沉醉在电影的情感和视听氛围中无法自拔。
143,哪吒闹海,https://movie.douban.com/subject/1307315/,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖 Zhenghui ...,1979,中国大陆,冒险/动画/奇幻,9.2,301303,
144,幸福终点站,https://movie.douban.com/subject/1292274/,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧/剧情/爱情,8.8,628789,有时候幸福需要等一等。
145,被解救的姜戈,https://movie.douban.com/subject/6307447/,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx /...,2012,美国,剧情/动作/西部/冒险,8.8,676430,热血沸腾，那个低俗、性感的无耻混蛋又来了。
